"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-10","37","43","23"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-11","35","41","33"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-12","32","37","21"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-13","20","27","13"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-14","33","37","26"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-15","39","47","30"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-16","38","44","23"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-17","24","31","14"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-18","31","36","25"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-19","36","42","25"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-20","40","41","38"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-21","47","55","38"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-22","31","37","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-23","27","34","20"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-24","38","51","29"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-25","30","34","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-26","37","47","30"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-27","36","47","26"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-28","42","51","34"
